timestamp,bus-6186_rss,bus-6186_x,bus-6186_y,bus-4604_rss,bus-4604_x,bus-4604_y,madsen-nuc1-b210,cnode-mario-dd-b210,cellsdr1-hospital-comp,bus-6182_rss,bus-6182_x,bus-6182_y,bus-4817_rss,bus-4817_x,bus-4817_y,cbrssdr1-honors-comp,cnode-ustar-dd-b210,cbrssdr1-browning-comp,sagepoint-nuc2-b210,bookstore-nuc2-b210,garage-nuc2-b210,cbrssdr1-smt-comp,cnode-wasatch-dd-b210,ebc-nuc1-b210,cnode-moran-dd-b210,web-nuc1-b210,bus-6183_rss,bus-6183_x,bus-6183_y,humanities-nuc2-b210,bus-5175_rss,bus-5175_x,bus-5175_y,bus-6180_rss,bus-6180_x,bus-6180_y,bus-4410_rss,bus-4410_x,bus-4410_y,moran-nuc2-b210,cbrssdr1-hospital-comp,law73-nuc2-b210,cnode-ebc-dd-b210,cbrssdr1-ustar-comp,bus-4407_rss,bus-4407_x,bus-4407_y,cellsdr1-smt-comp,bus-4603_rss,bus-4603_x,bus-4603_y,law73-nuc1-b210,cnode-guesthouse-dd-b210,cbrssdr1-fm-comp,sagepoint-nuc1-b210,cbrssdr1-bes-comp,guesthouse-nuc2-b210,bus-6185_rss,bus-6185_x,bus-6185_y,madsen-nuc2-b210,garage-nuc1-b210,tx_x_coord,tx_y_coord
2022-11-23 13:24:40,-101,-1,-1,-101,-1,-1,-101,-95.69567954000047,-98.127440653848,-101,-1,-1,-101,-1,-1,-72.69726015872473,-101,-88.11484217641932,-77.92344427491402,-91.0425122828992,-75.2622687631013,-91.76104326235179,-80.66705227472619,-93.206942939429,-101,-88.49975115942115,-101,-1,-1,-88.90916172097995,-101,-1,-1,-101,-1,-1,-101,-1,-1,-88.56834641215616,-84.3909920290188,-87.72963159011475,-89.6430024877518,-77.59159321030702,-101,-1,-1,-39.05526912998569,-101,-1,-1,-101,-91.8045827476645,-97.78666218162046,-101,-94.80184162046405,-52.78500747372671,-101,-1,-1,-81.4524897213561,-101,40.76521977,-111.83475621
2022-11-23 13:24:44,-101,-1,-1,-101,-1,-1,-101,-94.78755775200435,-97.36042155934472,-101,-1,-1,-101,-1,-1,-61.25291044360096,-101,-90.99050148372564,-77.44691594692688,-91.16906799683147,-75.08960984072834,-76.81965430801813,-82.3919829151755,-91.60054382738332,-101,-87.03507498841691,-101,-1,-1,-85.36045812084728,-101,-1,-1,-101,-1,-1,-101,-1,-1,-80.446519836318,-79.96617966381874,-85.68419878533726,-86.3694691675842,-87.4999168941575,-101,-1,-1,-41.641913861798905,-101,-1,-1,-101,-89.60221377858329,-99.19535569114925,-101,-92.16165622414115,-46.35978787012434,-101,-1,-1,-78.08565995812202,-101,40.76517706,-111.83482978
2022-11-23 13:24:48,-101,-1,-1,-101,-1,-1,-101,-93.85930803230947,-97.83915078881927,-101,-1,-1,-101,-1,-1,-63.95088212283498,-101,-93.25769727273962,-70.39443404468085,-91.28593895899823,-74.56767447447318,-74.80173313138098,-82.3544992469194,-93.56961508814017,-101,-89.37909781222707,-101,-1,-1,-83.86860084186928,-101,-1,-1,-101,-1,-1,-101,-1,-1,-74.71243772263031,-80.09382847216857,-87.0536531355636,-82.97211491470367,-82.36525507027355,-101,-1,-1,-45.67250594584128,-101,-1,-1,-101,-92.49529076378158,-98.22726611512238,-101,-94.89993017801895,-40.87691121470691,-101,-1,-1,-82.25662058759849,-101,40.76514949,-111.8348829
2022-11-23 13:24:52,-101,-1,-1,-101,-1,-1,-101,-94.21765856888618,-99.15134390198412,-101,-1,-1,-101,-1,-1,-65.49878776494438,-101,-86.13391891059136,-82.38016075988176,-89.81554055009536,-75.77029345325157,-69.62342889323124,-83.2268068260157,-94.5220302337941,-101,-91.82866911781323,-101,-1,-1,-74.19652742604774,-101,-1,-1,-101,-1,-1,-101,-1,-1,-79.56965387435056,-77.30096891258748,-85.62063864618976,-77.07548674739851,-64.42466540171341,-101,-1,-1,-46.68151602846972,-101,-1,-1,-101,-92.1375028467345,-97.44372713141715,-101,-94.81968493792013,-31.477315744218288,-101,-1,-1,-82.04199802136257,-101,40.76510157,-111.83495449
2022-11-23 13:24:56,-101,-1,-1,-101,-1,-1,-101,-93.61241808368658,-98.08706212672391,-101,-1,-1,-101,-1,-1,-65.3344851014066,-101,-93.65958909056297,-85.06038086660965,-92.03091809031575,-66.00560385951036,-72.65305549780919,-80.86102005387177,-92.57315564594802,-101,-85.90926125199888,-101,-1,-1,-86.69990991506837,-101,-1,-1,-101,-1,-1,-101,-1,-1,-75.87410789718396,-72.47582184031923,-85.83802056563705,-79.01867707358952,-67.503908452903,-101,-1,-1,-40.85936689226568,-101,-1,-1,-101,-88.88823153589348,-99.2878124111285,-101,-98.33951075412597,-50.05309460682402,-101,-1,-1,-84.91646536211512,-101,40.76506438,-111.83501341
2022-11-23 13:25:00,-101,-1,-1,-101,-1,-1,-101,-93.47177333711025,-98.16985150417531,-101,-1,-1,-101,-1,-1,-64.02131073701187,-101,-87.34187920384858,-78.23143672736425,-90.76912940589204,-65.6924061263424,-69.99292333129043,-79.31908409557033,-93.43206544350308,-101,-89.30483776671763,-101,-1,-1,-80.07335183602727,-101,-1,-1,-101,-1,-1,-101,-1,-1,-74.66088166689869,-75.35982533448657,-86.03850819795346,-82.25837536874818,-75.77876375768427,-101,-1,-1,-43.14218093142987,-101,-1,-1,-101,-92.65221447760625,-98.24946342361915,-101,-94.20691417456908,-38.64565581442661,-101,-1,-1,-81.66161443710533,-101,40.76504173,-111.83508441
2022-11-23 13:25:04,-101,-1,-1,-101,-1,-1,-101,-94.28598774331128,-97.88702216654241,-101,-1,-1,-101,-1,-1,-52.53517620570513,-101,-88.9404904185404,-78.16296613147152,-92.44322696066502,-71.12591106056483,-76.61444779500437,-81.83982477539973,-93.30040279973448,-101,-85.1487878214602,-101,-1,-1,-80.58511260902497,-101,-1,-1,-101,-1,-1,-101,-1,-1,-79.33517588286028,-73.78287445654884,-87.06120606594838,-88.65468003775806,-81.61609187963917,-101,-1,-1,-39.754046966673506,-101,-1,-1,-101,-92.40809903774473,-98.40114456940466,-101,-88.15569852665605,-59.98338903223421,-101,-1,-1,-81.31276280545926,-101,40.76502368,-111.83513396
2022-11-23 13:25:07,-101,-1,-1,-101,-1,-1,-101,-96.28307156140174,-98.1648703151305,-101,-1,-1,-101,-1,-1,-51.25766420421475,-101,-91.44737378262185,-78.31716034960793,-91.71911233529238,-66.27564492291685,-79.23672561973522,-82.23154734246636,-91.56788265013515,-101,-85.40656118121268,-101,-1,-1,-83.82954319273028,-101,-1,-1,-101,-1,-1,-101,-1,-1,-77.35591957751589,-75.07191766705745,-86.87345200881126,-84.32525531641465,-79.04728352338904,-101,-1,-1,-39.797431683607336,-101,-1,-1,-101,-91.07741531758408,-98.45879757801399,-101,-97.70973717841332,-47.84609483370666,-101,-1,-1,-81.69576631086716,-101,40.76499707,-111.83518573
2022-11-23 13:25:11,-101,-1,-1,-101,-1,-1,-101,-93.91917032066422,-97.47139703289591,-101,-1,-1,-101,-1,-1,-57.24167930749415,-101,-91.56706478409019,-79.5495632198582,-92.55572571099079,-63.20346099884384,-78.08467544954208,-78.22904654218065,-93.45708272226975,-101,-89.70725465986432,-101,-1,-1,-78.69545025428276,-101,-1,-1,-101,-1,-1,-101,-1,-1,-78.17891666039598,-88.75492978828933,-87.89228532820326,-85.53103586499078,-84.25071788400133,-101,-1,-1,-40.065413444168726,-101,-1,-1,-101,-88.52927235305403,-99.15792812961573,-101,-97.34660997209863,-42.75753275946687,-101,-1,-1,-83.82433236169041,-101,40.76495859,-111.83525865
2022-11-23 13:25:15,-101,-1,-1,-101,-1,-1,-101,-93.36798354680235,-98.20242740437664,-101,-1,-1,-101,-1,-1,-55.875781584367374,-101,-93.8367262446451,-82.5769606384027,-90.50229848102927,-67.98867079247034,-74.00251308662826,-79.50163469920457,-91.24670140743044,-101,-90.84854303084512,-101,-1,-1,-88.41772808130301,-101,-1,-1,-101,-1,-1,-101,-1,-1,-86.99143320250258,-71.07196064441203,-86.41914627635371,-82.87924232151218,-82.16418265652594,-101,-1,-1,-43.29146315821476,-101,-1,-1,-101,-87.88518472886047,-99.06374870472993,-101,-88.08073286487954,-38.956254736236865,-101,-1,-1,-83.05131893516017,-101,40.76490654,-111.83534433
2022-11-23 13:25:31,-101,-1,-1,-101,-1,-1,-101,-92.6213651782914,-98.57582576821719,-101,-1,-1,-101,-1,-1,-49.644193584699394,-101,-87.59787329602814,-73.95068191303126,-91.61280066514996,-67.64273193689347,-70.87339031176842,-81.3578921906518,-91.46872439567292,-101,-86.8406564377737,-101,-1,-1,-90.1716285951754,-101,-1,-1,-101,-1,-1,-101,-1,-1,-86.1685743668945,-78.37005796544469,-83.35304419423692,-81.85122533361904,-76.87461577313093,-101,-1,-1,-41.234592648261305,-101,-1,-1,-101,-92.858422908107,-98.82881976663926,-101,-96.49613086415613,-41.23623436900903,-101,-1,-1,-82.83082486442076,-101,40.76477657,-111.83563527
2022-11-23 13:25:35,-101,-1,-1,-101,-1,-1,-101,-94.03825304457249,-97.70142606578122,-101,-1,-1,-101,-1,-1,-40.27396645389037,-101,-84.0670915586869,-75.63608932774835,-90.02575296820507,-76.20392822304527,-68.49174440338578,-81.97404726764643,-94.2305770555264,-101,-90.65729739466163,-101,-1,-1,-83.99248041510967,-101,-1,-1,-101,-1,-1,-101,-1,-1,-70.82741514125344,-71.28396294584515,-86.45049974188368,-79.78961062836075,-84.28204953723899,-101,-1,-1,-36.98322842543463,-101,-1,-1,-101,-89.17135275481577,-97.44682875467866,-101,-89.63454032240352,-46.012882354854995,-101,-1,-1,-83.13421856229974,-101,40.76473451,-111.83570554
2022-11-23 13:25:39,-101,-1,-1,-101,-1,-1,-101,-94.45428328787341,-97.9957205067957,-101,-1,-1,-101,-1,-1,-44.31936193575002,-101,-89.45941829165326,-84.94065428243745,-91.78756880674477,-68.14015393536204,-72.48657979846222,-82.26428634908685,-94.26730167366033,-101,-89.88290708990398,-101,-1,-1,-78.01932294907242,-101,-1,-1,-101,-1,-1,-101,-1,-1,-80.03842914681809,-72.96436996453362,-85.0953588221485,-83.35496974726087,-81.70437424100847,-101,-1,-1,-39.63045381449258,-101,-1,-1,-101,-92.53660358862365,-98.50195273298105,-101,-89.70667671935223,-55.17786827769437,-101,-1,-1,-81.1618724246353,-101,40.76470335,-111.83577337
2022-11-23 13:25:43,-101,-1,-1,-101,-1,-1,-101,-93.38932829690229,-98.14379983281884,-101,-1,-1,-101,-1,-1,-45.80417644371118,-101,-88.18704328132262,-79.81835992120872,-91.3030267312601,-67.34011826644785,-63.3074561254283,-78.75844347630027,-91.88366326214455,-101,-87.33975815045025,-101,-1,-1,-77.50596361375943,-101,-1,-1,-101,-1,-1,-101,-1,-1,-80.79755406364015,-84.8865461495805,-84.76461947014354,-76.94056238318835,-73.97486545544047,-101,-1,-1,-34.745435388074284,-101,-1,-1,-101,-86.459264997252,-98.64819038155971,-101,-83.91238214601857,-53.31550623696958,-101,-1,-1,-77.85918163518113,-101,40.76468889,-111.83582509
2022-11-23 13:25:47,-101,-1,-1,-101,-1,-1,-101,-92.77161379496448,-97.68887359891266,-101,-1,-1,-101,-1,-1,-52.30919359480127,-101,-87.11254459680416,-74.79494779935186,-87.70375508256807,-65.2800443238157,-64.53934711812381,-76.43457455824047,-92.97725608274222,-101,-88.25321357147243,-101,-1,-1,-78.50159256434466,-101,-1,-1,-101,-1,-1,-101,-1,-1,-78.67396217330221,-75.01941664851108,-85.66191628061483,-74.04404917696469,-61.83804907444813,-101,-1,-1,-35.81340277674937,-101,-1,-1,-101,-94.63001482654565,-98.4859536431272,-101,-88.52146431699887,-59.70425441443321,-101,-1,-1,-74.51310297987904,-101,40.76470386,-111.83588207
2022-11-23 13:25:51,-101,-1,-1,-101,-1,-1,-101,-90.22530301471578,-97.6083945846463,-101,-1,-1,-101,-1,-1,-55.852554468522264,-101,-83.22266969764938,-81.42622353961801,-88.03036721413777,-88.43222989369751,-74.40696510725452,-73.98288447715092,-91.61682131950867,-101,-88.60239911762949,-101,-1,-1,-79.65800037946137,-101,-1,-1,-101,-1,-1,-101,-1,-1,-77.43677237405926,-78.03679213676735,-86.16286458900767,-73.39243063068193,-59.219562041367546,-101,-1,-1,-43.52102340377155,-101,-1,-1,-101,-86.4338291355972,-98.77148577016857,-101,-94.1856418409939,-46.52286127025733,-101,-1,-1,-79.2942643987389,-101,40.76474074,-111.83593859
2022-11-23 13:25:55,-101,-1,-1,-101,-1,-1,-101,-94.81780672400006,-96.13543494969883,-101,-1,-1,-101,-1,-1,-57.76939335795411,-101,-94.67431940385957,-79.94330968067453,-89.81808431518871,-67.01962333585163,-81.20509417941933,-77.18467981022036,-88.96715626864813,-101,-85.9325728504281,-101,-1,-1,-72.75075775000673,-101,-1,-1,-101,-1,-1,-101,-1,-1,-73.37991361057406,-75.79377926222142,-85.46420283847793,-78.65459282845305,-64.11786434048031,-101,-1,-1,-44.729302343263065,-101,-1,-1,-101,-90.5611132008903,-98.64268633179002,-101,-92.55797085400074,-56.761428879205326,-101,-1,-1,-77.71011121444946,-101,40.76479081,-111.8359889
2022-11-23 13:25:59,-101,-1,-1,-101,-1,-1,-101,-92.95156290203069,-98.26963437126886,-101,-1,-1,-101,-1,-1,-43.964539828372,-101,-88.74428266251198,-78.41027154339162,-89.00371510309697,-70.30189772625639,-65.05546606622099,-72.51158951897888,-86.25569130334328,-101,-87.74448376569953,-101,-1,-1,-73.56389656131259,-101,-1,-1,-101,-1,-1,-101,-1,-1,-76.95312094497541,-67.47494256364604,-85.50510044739158,-82.53250169272843,-64.07521896649226,-101,-1,-1,-35.35237310814666,-101,-1,-1,-101,-85.29843599017227,-98.4233358993471,-101,-84.30674111350525,-50.36367689376506,-101,-1,-1,-81.44150884578806,-101,40.76484984,-111.83602943
2022-11-23 13:26:02,-101,-1,-1,-101,-1,-1,-101,-92.73909977641763,-99.00948839658163,-101,-1,-1,-101,-1,-1,-48.911022129703674,-101,-94.57600761702479,-76.82168746024166,-91.17050276052271,-65.27873080089579,-68.19441449194942,-76.04004116374676,-90.88446636523877,-101,-88.32986394679943,-101,-1,-1,-80.6591365686117,-101,-1,-1,-101,-1,-1,-101,-1,-1,-71.52809358936311,-75.94601486861556,-86.12055076621317,-68.79990030912037,-61.89454417372079,-101,-1,-1,-39.81391381978096,-101,-1,-1,-101,-77.5426016139481,-99.19128087363048,-101,-94.35316309479461,-47.40756037446297,-101,-1,-1,-80.96020385915666,-101,40.76489491,-111.8360401
2022-11-23 13:26:06,-101,-1,-1,-101,-1,-1,-101,-93.88705850118974,-96.92969241938108,-101,-1,-1,-101,-1,-1,-53.32238790802645,-101,-83.76995231195122,-81.79463809617997,-89.70355596921405,-78.18966134719759,-71.64885210089237,-79.07675745965965,-91.12773136385209,-101,-82.98794297309414,-101,-1,-1,-66.94272040894995,-101,-1,-1,-101,-1,-1,-101,-1,-1,-74.44325324075045,-67.80844247953495,-85.70576174384607,-69.7397555348166,-66.26001130770686,-101,-1,-1,-37.84319795216121,-101,-1,-1,-101,-83.80455250314866,-98.0669683320863,-101,-85.56678469934683,-45.19790544855847,-101,-1,-1,-82.9479277430665,-101,40.76492761,-111.83601305
2022-11-23 13:26:22,-101,-1,-1,-101,-1,-1,-101,-94.54574829515231,-96.91987234533633,-101,-1,-1,-101,-1,-1,-62.193113449933065,-101,-80.83710425706742,-91.1136553795478,-90.32194317274002,-67.904670035488,-62.9390761488626,-76.8632639167551,-92.66125507505308,-101,-88.75877830532158,-101,-1,-1,-69.90115945272319,-101,-1,-1,-101,-1,-1,-101,-1,-1,-74.04316419170226,-81.04540997433736,-85.65125610376322,-76.9049071072576,-67.01338222683218,-101,-1,-1,-31.76089781864816,-101,-1,-1,-101,-85.52665489725993,-98.16875850590736,-101,-89.78662195982645,-39.85644938978825,-101,-1,-1,-81.07221126364567,-101,40.7651238,-111.83585947
2022-11-23 13:26:26,-101,-1,-1,-101,-1,-1,-101,-93.26690591962569,-99.34156989982638,-101,-1,-1,-101,-1,-1,-51.07019365521707,-101,-82.59808849122328,-74.62476036984941,-89.80908290999828,-61.67925568176422,-62.3041991654074,-71.94634800940057,-90.87664113223646,-101,-81.60231363722224,-101,-1,-1,-71.95601981998739,-101,-1,-1,-101,-1,-1,-101,-1,-1,-66.367821253833,-71.15792808791821,-86.70652101959126,-75.53523323123586,-73.67421569028785,-101,-1,-1,-30.647731405000023,-101,-1,-1,-101,-79.53231923711283,-99.27936923950449,-101,-87.21788710626214,-43.42459962343895,-101,-1,-1,-82.21413074367085,-101,40.76515399,-111.83580527
2022-11-23 13:26:29,-101,-1,-1,-101,-1,-1,-101,-91.65492073113207,-98.79479187728238,-101,-1,-1,-101,-1,-1,-54.062805516973114,-101,-81.30863407996073,-79.34981784123886,-92.29670914557732,-71.66815851267003,-67.72156237151266,-76.05422473479223,-91.36609644703864,-101,-83.28711417403923,-101,-1,-1,-76.795994138898,-101,-1,-1,-101,-1,-1,-101,-1,-1,-71.05937553530082,-67.8642946115165,-88.07085940450867,-77.67073129457523,-65.45524795209049,-101,-1,-1,-30.865330005108294,-101,-1,-1,-101,-79.95864382342207,-98.66285521979377,-101,-90.04141897548146,-34.427146519704046,-101,-1,-1,-80.02289048627681,-101,40.76518664,-111.83577183
2022-11-23 13:26:33,-101,-1,-1,-101,-1,-1,-101,-94.91928756823214,-99.15619539638578,-101,-1,-1,-101,-1,-1,-66.73280327920604,-101,-86.2805059496104,-82.89402556545744,-89.54204566075697,-79.00436227905205,-59.485900757169475,-81.92944998181844,-83.16866735522294,-101,-80.35705173555165,-101,-1,-1,-86.3845417967015,-101,-1,-1,-101,-1,-1,-101,-1,-1,-78.44967897746929,-70.00325993552417,-87.95155658012375,-68.85355645944776,-61.7838110933443,-101,-1,-1,-29.44739997596448,-101,-1,-1,-101,-78.64831631737852,-97.93670800220087,-101,-84.97926373119586,-36.72101149983275,-101,-1,-1,-80.8138122218592,-101,40.76524098,-111.83575088
